Generation,Baseline-Avg,Baseline-Best,Updates,Samples,DynamicSocial-Avg,DynamicSocial-Best
434,12759.999,22217.7,0,10,13834.062,20816.4
435,12894.961,21119.1,0,10,12944.47,20717.4
436,13048.295,21016.9,0,10,12757.171,20614.7
437,12937.895,21618.7,0,10,12759.33,20014.4
438,12478.521,21216.6,0,10,13596.972,20615.5
439,12511.224,20118.3,0,10,13100.56,21515.5
440,12738.361,21418,0,10,13543.386,20913.1
441,12941.973,20816.2,0,10,13069.253,20218.2
442,12324.436,20418.2,0,10,13146.555,20912.9
443,12786.127,20417,0,10,12776.359,20613.3
444,13022.08,20320.4,0,10,13616.358,20715.4
445,12796.857,21319.5,0,10,14606.68,22116.9
446,12789.885,20516.2,0,10,13857.642,22614
447,12794.713,20917.1,0,10,13021.998,20914.6
448,12845.406,22117.7,0,10,12682.707,20816.4
449,12759.556,20919.7,0,10,12797.466,20214.8
450,12670.668,20418.8,0,10,13160.706,20514.1
451,13239.892,20916.3,0,10,13999.485,20114.8
452,12751.024,21317.8,0,10,13709.28,21312.2
453,12735.347,21520.2,0,10,13319.865,20613.7
454,12346.228,20317.8,0,10,12780.731,20513.8
455,12627.584,20418.1,0,10,12769.444,20413
456,12774.598,19916,0,10,13029.532,20212.9
457,12336.761,20617.1,0,10,14094.94,22414.7
458,12541.399,21720.4,0,10,13412.97,22314.3
459,12332.126,20619.9,0,10,13715.797,21116.3
460,12875.235,20815.8,0,10,13675.068,20714.7
461,12676.378,20718.2,0,10,14074.395,21714.7
462,12840.447,22416.3,0,10,14555.027,22615.6
463,13037.427,20917.4,0,10,14098.913,21815.3
464,12672.236,20521.1,0,10,13767.022,21917
465,12796.563,20617.3,0,10,13239.519,21115.5
466,12933.752,20918.1,0,10,13902.244,21717.3
467,12659.733,21317.7,0,10,13193.566,21116.6
468,12505.567,20721.3,0,10,13749.431,22013.2
469,12979.464,21119,0,10,13985.078,22215.9
470,12577.405,20418,0,10,12780.048,21513.5
471,12647.265,20518.8,0,10,13745.584,21115.2
472,12980.77,21817.4,0,10,13728.984,21514.8
473,12616.241,20417.5,0,10,14417.054,22613.4
474,12602.088,20418.9,0,10,12674.219,21015.5
475,13136.458,20819.7,0,10,13819.176,22013.2
476,12069.372,20320.1,0,10,13650.167,20614.3
477,12870.903,20519.8,0,10,12306.625,20214.3
478,12596.155,21216,0,10,13781.394,21115.5
479,13102.576,20616.6,0,10,13183.009,20913.2
480,12840.78,20718.3,0,10,13733.508,21513
481,13311.73,21716.2,0,10,13244.809,20316.4
482,12347.615,20518.3,0,10,13586.665,21016.8
